"552958161398022145","charlie hebdo","NoQueriaPero","RT @NYMag: #JeSuisCharlie: Cartoonists pay tribute to #CharlieHebdo victims: http://t.co/qunRUYXZzy (cartoon by @RobTornoe) http://t.co/LKt79dpn8s","938","Wed Jan 07 22:41:13 +0000 2015"
"552958161003769857","charlie hebdo","ricferrer","RT @cmatiash: People gather in a show of  support for the shooting victims at Charlie Hebdo: http://t.co/FKn7xW9Puz (photos) http://t.co/V9yAhXbKUP","610","Wed Jan 07 22:41:13 +0000 2015"
"552958160625864704","charlie hebdo","zosejutihim","RT @MEMMOSdubai: Charlie Hebdo shooting triggers media censorship debate http://t.co/SE9iQeoSg9 @MEMMOSDubai #Dubai #UAE","331","Wed Jan 07 22:41:13 +0000 2015"
"552958160252973056","charlie hebdo","BejahNEWS","RT @mashable: One of the gunmen ID'd in today's Paris attack was convicted on terrorism charges in 2008 http://t.co/qcMJmNTH2w #CharlieHebdo","54","Wed Jan 07 22:41:13 +0000 2015"
"552958159942201344","charlie hebdo","Fanch_Ig","Jyllands-Posten Editor: ""This is all about [...] freedom of the press and freedom of speech http://t.co/rvbQbplTmQ via @thedailybeast","0","Wed Jan 07 22:41:13 +0000 2015"
"552958159778635776","charlie hebdo","littlepowder","RT @smh: .@davpope on his cartoon on the #CharlieHebdo attack. #JeSuisCharlie http://t.co/mT9yCoVk7R http://t.co/GC46J1i9UD","19","Wed Jan 07 22:41:13 +0000 2015"
"552958159657385984","charlie hebdo","ichapron","RT @mashable: Suspects in deadly Paris attack were on police radar for years http://t.co/YNh4E3rdNw #CharlieHebdo http://t.co/iVkJvOsMyD","377","Wed Jan 07 22:41:13 +0000 2015"
"552958159477030912","charlie hebdo","pfoot94","RT @Freedland: ""Condemnation must be unequivocal"". The Guardian view on #CharlieHebdo  http://t.co/qxeLIZszKJ","22","Wed Jan 07 22:41:13 +0000 2015"
"552958158214545408","charlie hebdo","MoniqueSnijders","RT @JeremyCliffe: Wow! Tomorrow's Berliner Zeitung does Charlie Hebdo proud (via @PeterHuth): http://t.co/9G8bY0gavW","650","Wed Jan 07 22:41:13 +0000 2015"
"552958157543444480","charlie hebdo","ChristoHaunted","RT @9NewsAUS: More tributes from cartoonists around the world flow in: http://t.co/p3VM7SbawY #CharlieHebdo #9News http://t.co/djqs806rgI","163","Wed Jan 07 22:41:12 +0000 2015"
"552958157514080256","charlie hebdo","Strictlybird","RT @Telegraph: #JeSuisCharlie: Spontaneous rallies of defiance sweep France http://t.co/z1ZPVMfLlj (Pic: Heathcliff O'Malley) http://t.co/u0necIXljp","1012","Wed Jan 07 22:41:12 +0000 2015"
"552958157358891008","charlie hebdo","HaulwenN","RT @vincentpeyregne: I wish tomorrow all newspapers could be called ""Charlie Hebdo”. We are not afraid #charlieHebdo #JeSuisCharlie http://t.co/NoB9tezt9f","12","Wed Jan 07 22:41:12 +0000 2015"
"552958156763312129","charlie hebdo","nicohof1","New: French police conducting raid linked to Charlie Hebdo attack: AFP http://t.co/588WnESbcr","0","Wed Jan 07 22:41:12 +0000 2015"
"552958156520054785","charlie hebdo","marcoprat","RT @NYMag: #JeSuisCharlie: Cartoonists pay tribute to #CharlieHebdo victims: http://t.co/qunRUYXZzy (cartoon by @RobTornoe) http://t.co/LKt79dpn8s","938","Wed Jan 07 22:41:12 +0000 2015"
"552958156158930944","charlie hebdo","suelannin","RT @eksymons: Cabu was almost 77, Wolinski 80. Cabu was French press cartoon giant 'with air of eternally overgrown adolescent' http://t.co/ceWipr6shA","2","Wed Jan 07 22:41:12 +0000 2015"
"552958156121190400","charlie hebdo","gordmcintyre","RT @DougSaunders: The usual suspects: ""Not very religious, drank alcohol... criminal history, linked to Yemeni group"" http://t.co/r1YOXxm9h1","54","Wed Jan 07 22:41:12 +0000 2015"
"552958155765055488","charlie hebdo","lawrencebrenner","RT @johnnystorm0: Good news! Gunmen who stormed Charlie Hebdo offices, killing 12, have reportedly been arrested http://t.co/cLwAo1Juxd","1","Wed Jan 07 22:41:12 +0000 2015"
"552958155345637378","charlie hebdo","dangusloughlin","Did Houellebecq's new novel provoke the Charlie Hebdo attack? by  @bershidsky #CharlieHebdo http://t.co/0AmE8F0i8W via @BV","0","Wed Jan 07 22:41:12 +0000 2015"
