"553961128041385985","John Frusciante","great"
"553961128041385985","John Frusciante","talented"
"553958786105626625","John Frusciante","♫"
"553957735487004672","John Frusciante","♫"
"553956787175829504","John Frusciante","top"
"553956462381117440","John Frusciante","lt;3"
"553953213591072768","John Frusciante","top"
"553951421318828032","John Frusciante","top"
"553951421318828032","John Frusciante","xx"
"553949225927450624","John Frusciante","amazing"
"553949225927450624","John Frusciante","combined"
"553948975288811522","John Frusciante","top"
"553946498837536768","John Frusciante","other"
"553946498837536768","John Frusciante","top"
"553941938182062081","John Frusciante","osbourne"
"553941938182062081","John Frusciante","ozzy"
"553915571214229504","John Frusciante","good"
"553899827306962944","John Frusciante","download"
"553899827306962944","John Frusciante","new"
"553899827306962944","John Frusciante","released"
"553891617917390850","John Frusciante","recent"
"553872730706022400","John Frusciante","good"
"553872730706022400","John Frusciante","such"
"553857144651399168","John Frusciante","official"
"553852331021058048","John Frusciante","beautiful"
"554128128273289216","Uncle Duke","funny"
"554015489555701760","Uncle Duke","fucking"
"554015489555701760","Uncle Duke","mad"
"554015489555701760","Uncle Duke","miss"
"554015440813719555","Uncle Duke","dysfunctional"
"554011900074528769","Uncle Duke","illegal"
"554011900074528769","Uncle Duke","international"
"554011900074528769","Uncle Duke","legal"
"554011900074528769","Uncle Duke","national"
"554009031950737408","Uncle Duke","high"
"554009031950737408","Uncle Duke","last"
"553999761205108736","Uncle Duke","yalls"
"553584803857960960","Uncle Duke","easy"
"553573489425522690","Uncle Duke","old"
"553375551663403008","Uncle Duke","so"
"553369863641513984","Uncle Duke","married"
"553366186717888512","Uncle Duke","tragic"
"553197294284455937","Uncle Duke","immy_nutty"
"553182335315623936","Uncle Duke","last"
"553182335315623936","Uncle Duke","national"
"553089477007011841","Uncle Duke","naughty"
"553089477007011841","Uncle Duke","slimy"
"553044631311880193","Uncle Duke","black"
"553044631311880193","Uncle Duke","white"
"553044515981127680","Uncle Duke","black"
"553044515981127680","Uncle Duke","white"
"553027620368314368","Uncle Duke","american"
"553027620368314368","Uncle Duke","big"
"552970339630993409","Uncle Duke","little"
"552927203218821121","Uncle Duke","reign"
"552921608483241985","Uncle Duke","lil"
"552921608483241985","Uncle Duke","nice"
"552921608483241985","Uncle Duke","old"
"552755663152357376","Uncle Duke","5th"
"552748301494521856","Uncle Duke","5th"
"552655651273707520","Uncle Duke","real"
"552655513167867905","Uncle Duke","real"
"552547547303407617","Uncle Duke","good"
"552547547303407617","Uncle Duke","proud"
"552547547303407617","Uncle Duke","���"
"552512501506899969","Uncle Duke","good"
"552512501506899969","Uncle Duke","proud"
"552512501506899969","Uncle Duke","���"
"552503763748265986","Uncle Duke","fuckin"
"552452165214928896","Uncle Duke","cnn"
"552336175709835264","Uncle Duke","loved"
"552307010562449410","Uncle Duke","got"
"552272575515328515","Uncle Duke","unc"
"552259387104849920","Uncle Duke","my"
"552259387104849920","Uncle Duke","please"
"552259387104849920","Uncle Duke","���"
"552246824883347456","Uncle Duke","my"
"552246824883347456","Uncle Duke","please"
"552246824883347456","Uncle Duke","���"
"552174261474164736","Uncle Duke","my"
"552174261474164736","Uncle Duke","please"
"552174261474164736","Uncle Duke","���"
"552161791216603137","Uncle Duke","my"
"552161791216603137","Uncle Duke","please"
"552161791216603137","Uncle Duke","���"
"552161127774158848","Uncle Duke","my"
"552161127774158848","Uncle Duke","please"
"552161127774158848","Uncle Duke","���"
"552146082659315712","Uncle Duke","my"
"552146082659315712","Uncle Duke","please"
"552146082659315712","Uncle Duke","���"
"552138835891466240","Uncle Duke","my"
"552138835891466240","Uncle Duke","please"
"552138835891466240","Uncle Duke","���"
"552134661288521728","Uncle Duke","80s-early"
"552134661288521728","Uncle Duke","late"
"552124598360104962","Uncle Duke","my"
"552124598360104962","Uncle Duke","please"
"552124598360104962","Uncle Duke","���"
"552107351533039616","Uncle Duke","my"
"552107351533039616","Uncle Duke","please"
"552107351533039616","Uncle Duke","���"
"552067639518842882","Uncle Duke","my"
"552067639518842882","Uncle Duke","please"
"552067639518842882","Uncle Duke","���"
"552064139414470656","Uncle Duke","fuckin"
"552049807007567873","Uncle Duke","my"
"552049807007567873","Uncle Duke","please"
"552049807007567873","Uncle Duke","���"
"552048453690220544","Uncle Duke","my"
"552048453690220544","Uncle Duke","please"
"552048453690220544","Uncle Duke","���"
"552048195585323008","Uncle Duke","my"
"552048195585323008","Uncle Duke","please"
"552048195585323008","Uncle Duke","���"
"552048003666939905","Uncle Duke","my"
"552048003666939905","Uncle Duke","please"
"552048003666939905","Uncle Duke","���"
"552027626999525377","Uncle Duke","my"
"552027626999525377","Uncle Duke","please"
"552027626999525377","Uncle Duke","���"
"552022524650090496","Uncle Duke","my"
"552022524650090496","Uncle Duke","please"
"552022524650090496","Uncle Duke","���"
"554088154114695168","Swifty McVay","bizarre"
"554082508136931328","Swifty McVay","bizarre"
"553959227103133698","Swifty McVay","bizzarre"
"553959227103133698","Swifty McVay","gay"
"553959227103133698","Swifty McVay","sick"
"553959227103133698","Swifty McVay","usual"
"553948517098479617","Swifty McVay","powerful"
"553893707657670657","Swifty McVay","official"
"553893437158588417","Swifty McVay","full"
"553872059973910529","Swifty McVay","bizarre"
"553871809209061377","Swifty McVay","bizzarre"
"553871809209061377","Swifty McVay","gay"
"553871809209061377","Swifty McVay","sick"
"553871809209061377","Swifty McVay","usual"
"553857679127752704","Swifty McVay","bizarre"
"553108414830624768","Swifty McVay","powerful"
"552888467907035136","Swifty McVay","bizarre"
"552864818521059328","Swifty McVay","make"
"552540214737240064","Swifty McVay","powerful"
"552345371230621697","Swifty McVay","precious"
"552343573187031041","Swifty McVay","precious"
"552342735555158018","Swifty McVay","precious"
"552132858631180288","Swifty McVay","make"
"552132229594636288","Swifty McVay","bizarre"
"551965466282184704","Swifty McVay","bizarre"
"551607873977868288","Swifty McVay","powerful"
"551421056620441601","Swifty McVay","bizarre"
"551418876907773952","Swifty McVay","bizarre"
"554171925971206144","William Hurt","new"
"554154972024016896","William Hurt","hurt"
"554141072453304321","William Hurt","big"
"554141072453304321","William Hurt","hurt"
"554141072453304321","William Hurt","little"
"554141072453304321","William Hurt","mean"
"554141050072473600","William Hurt","hurt"
"554122639375998976","William Hurt","oz"
"554122639375998976","William Hurt","youngish"
"554120860919812097","William Hurt","crazy"
"554120860919812097","William Hurt","nice"
"554099507223207936","William Hurt","chronic"
"554094438784712704","William Hurt","new"
"554093805071126528","William Hurt","new"
"554089920781103104","William Hurt","new"
"554082900761534464","William Hurt","asimovian"
"554074175908741120","William Hurt","’"
"554064450601226240","William Hurt","batshit"
"554064450601226240","William Hurt","decent"
"554055511423729664","William Hurt","’"
"554037772743610368","William Hurt","new"
"554035928197767168","William Hurt","new"
"554034756254703617","William Hurt","sure"
"554018802409955328","William Hurt","new"
"554011723301416960","William Hurt","new"
"554002083783794688","William Hurt","dang"
"554002083783794688","William Hurt","freaky"
"554002083783794688","William Hurt","lifelike"
"554002083783794688","William Hurt","pretty"
"553994594208477185","William Hurt","new"
"553994229786370049","William Hurt","new"
"553993713886957568","William Hurt","new"
"553993644282478592","William Hurt","new"
"553993181767798784","William Hurt","new"
"553992197012721664","William Hurt","good"
"553992197012721664","William Hurt","much"
"553975975684608000","William Hurt","lifelike"
"553975975684608000","William Hurt","sinister"
"553975095434424320","William Hurt","bad"
"553971974796746752","William Hurt","creepy"
"553971974796746752","William Hurt","near"
"553971974796746752","William Hurt","synthetic"
"553970375575363584","William Hurt","intriguing"
"553970375575363584","William Hurt","life-like"
"553968722818641921","William Hurt","intriguing"
"553968722818641921","William Hurt","life-like"
"553961237005234177","William Hurt","intriguing"
"553961237005234177","William Hurt","life-like"
"553960503689891840","William Hurt","hot"
"553959897923338240","William Hurt","promotional"
"553959104205819904","William Hurt","sci-fi"
"553958867244417024","William Hurt","creepy"
"553958867244417024","William Hurt","near"
"553958867244417024","William Hurt","synthetic"
"553958687812124672","William Hurt","creepy"
"553958687812124672","William Hurt","near"
"553958687812124672","William Hurt","synthetic"
"553957021658402816","William Hurt","intriguing"
"553957021658402816","William Hurt","life-like"
"553956791332007936","William Hurt","creepy"
"553956791332007936","William Hurt","near"
"553956791332007936","William Hurt","synthetic"
"553956352939548672","William Hurt","dang"
"553956352939548672","William Hurt","freaky"
"553956352939548672","William Hurt","lifelike"
"553956352939548672","William Hurt","pretty"
"553956320307867650","William Hurt","intriguing"
"553956320307867650","William Hurt","life-like"
"553956128112275456","William Hurt","creepy"
"553956128112275456","William Hurt","near"
"553956128112275456","William Hurt","synthetic"
"553956076186791936","William Hurt","intriguing"
"553956076186791936","William Hurt","life-like"
"553956075536658433","William Hurt","intriguing"
"553956075536658433","William Hurt","life-like"
"553956048659562496","William Hurt","intriguing"
"553956048659562496","William Hurt","life-like"
"553955899765981185","William Hurt","intriguing"
"553955899765981185","William Hurt","life-like"
"553955869046886400","William Hurt","new"
"553955745667227648","William Hurt","lifelike"
"553955745667227648","William Hurt","sinister"
"553955679065473024","William Hurt","amazing"
"553955679065473024","William Hurt","creepy"
"553955679065473024","William Hurt","new"
"553955679065473024","William Hurt","robotic"
"553955530960814080","William Hurt","creepy"
"553955530960814080","William Hurt","near"
"553955530960814080","William Hurt","synthetic"
"553955222478139392","William Hurt","lifelike"
"553955222478139392","William Hurt","sinister"
"553954855749177344","William Hurt","lifelike"
"553954855749177344","William Hurt","sinister"
"553954578639486979","William Hurt","new"
"553954563372236800","William Hurt","creepy"
"553954563372236800","William Hurt","near"
"553954563372236800","William Hurt","synthetic"
"553954469789323264","William Hurt","new"
"553954325475885056","William Hurt","hurt"
"553954325475885056","William Hurt","ok"
"553954325165527040","William Hurt","new"
"553954325165527040","William Hurt","robotic"
"553954297676062721","William Hurt","dang"
"553954297676062721","William Hurt","freaky"
"553954297676062721","William Hurt","lifelike"
"553954297676062721","William Hurt","pretty"
"553954214767243266","William Hurt","dang"
"553954214767243266","William Hurt","freaky"
"553954214767243266","William Hurt","lifelike"
"553954214767243266","William Hurt","pretty"
"553954073326940160","William Hurt","creepy"
"553954073326940160","William Hurt","sci-fi"
"553953940644302848","William Hurt","synthetic"
"553953488167010305","William Hurt","creepy"
"553924561809735680","William Hurt","ourgeneration"
"553852545656160256","William Hurt","hurt"
"553832319824695298","William Hurt","hurt"
"553813166329958400","William Hurt","ourgeneration"
"553775153922834434","William Hurt","artificial"
"553753534622343169","William Hurt","new"
"553753534622343169","William Hurt","social"
"553752719853633536","William Hurt","fast"
"553752719853633536","William Hurt","hurt"
"553745921637642240","William Hurt","new"
"553745921637642240","William Hurt","social"
"553741888462024705","William Hurt","bad"
"553741888462024705","William Hurt","ohhh"
"553802380328714240","Jon Fishman","mesomorph"
"552827866120220672","Jon Fishman","interested"
